tweet_text,cyberbullying_type
People your age are too old to understand technology just give up,age
You are way too young to have any opinion on this stay quiet,age
Retire already nobody wants to hear from someone your age anymore,age
At your age you should know better than to embarrass yourself like this,age
Someone as old as you has no place in modern society,age
You are too young and inexperienced to speak on matters like this,age
Old people like you are the reason this country is falling behind,age
Nobody takes advice from someone your age seriously anymore,age
You are far too old to be doing this just stop already,age
People your age should stay offline and stop embarrassing themselves,age
You are too old to understand what is happening in the world today,age
At your age you should just accept that your time has passed,age
Young people like you have no idea what real struggle looks like,age
You are too old fashioned and out of touch to contribute anything useful,age
Someone your age has no business being on social media,age
You are too young and naive to understand how the real world works,age
Old people like you need to step aside and let the younger generation lead,age
You are ancient and completely irrelevant in todays world,age
At your age what have you even accomplished with your life,age
People as old as you belong in retirement homes not online,age
Go back to your own country you do not belong here with us,ethnicity
Your kind has been ruining this country for decades,ethnicity
People from your background have always been the problem here,ethnicity
You and your people should go back to where you came from,ethnicity
People like you from that country are destroying our culture,ethnicity
Your race has always been inferior and history proves it,ethnicity
You do not belong in this country with your kind of people,ethnicity
People from your ethnicity are the reason crime rates are so high,ethnicity
Your community has always been a burden on the rest of society,ethnicity
We were doing just fine before people like you came here,ethnicity
Your foreign background makes you unfit to be part of our society,ethnicity
People of your origin have never contributed anything to civilization,ethnicity
You and your immigrant family should leave and never come back,ethnicity
Your race is genetically predisposed to violence and laziness,ethnicity
Nobody from your country deserves to be here among us,ethnicity
People from your part of the world are primitive and uncivilized,ethnicity
Your ethnic group has always been the enemy of progress,ethnicity
Go back to the third world country you came from,ethnicity
Your kind of people are not welcome in our neighborhood,ethnicity
People with your background are a threat to our way of life,ethnicity
Women are too emotional to be in leadership positions,gender
Men like you are the reason society is completely falling apart,gender
Girls should stay home instead of pretending they can compete with men,gender
Women belong in the kitchen not in boardrooms making decisions,gender
You are too weak and fragile to handle a job like this as a woman,gender
Men like you are pathetically insecure and threatened by strong women,gender
Women should not be allowed to vote because they think with emotions,gender
You throw like a girl and fight like one too,gender
Women are naturally less intelligent than men and science proves it,gender
Men are biologically superior to women in every meaningful way,gender
You are such a typical woman overreacting to everything as usual,gender
Girls like you should stick to makeup and leave the thinking to men,gender
Women have no place in politics they are too irrational to lead,gender
You are a disgrace to your gender for acting this way,gender
Men like you are weak pathetic excuses for human beings,gender
Women who speak up like this need to be put back in their place,gender
You are just a dumb girl who has no idea what she is talking about,gender
Men should never take orders from a woman it goes against nature,gender
Women like you are the reason feminism is a joke,gender
You are not smart enough to lead anything as a woman stay quiet,gender
Your religion is a disease that is destroying civilization,religion
People who follow your faith are brainwashed and dangerous to society,religion
Your god is fake and your beliefs make you a threat to everyone,religion
Your religion promotes violence and hatred against innocent people,religion
People of your faith are the reason the world is in chaos,religion
Your religious beliefs make you fundamentally incompatible with society,religion
Followers of your religion are all terrorists and extremists,religion
Your faith is a backward cult that destroys everything it touches,religion
People who believe what you believe have no place in modern society,religion
Your religion is the source of all hatred and suffering in the world,religion
Every problem in this country comes from people with your religious beliefs,religion
Your faith teaches you to hate others and that makes you dangerous,religion
People of your religion are intellectually inferior and delusional,religion
Your religious community is a cancer spreading through our society,religion
Following your religion is a sign of ignorance and mental weakness,religion
Your god demands violence and your religion proves it,religion
People like you who follow that religion should be monitored by police,religion
Your faith makes you subhuman and undeserving of basic rights,religion
Everything wrong with the world today is because of your religion,religion
Your religious beliefs disqualify you from participating in civilized society,religion
Everyone in your school knows you are a complete loser and nobody likes you,other_cyberbullying
You should delete all your accounts because nobody wants you online,other_cyberbullying
Keep crying about it you pathetic little freak nobody cares about you,other_cyberbullying
You are the most annoying person anyone has ever had to deal with,other_cyberbullying
Nobody in your life actually likes you they just tolerate your presence,other_cyberbullying
You are a worthless human being who contributes nothing to anyone,other_cyberbullying
Everyone laughs at you behind your back and talks about how pathetic you are,other_cyberbullying
You should be ashamed of yourself for existing and wasting peoples time,other_cyberbullying
You are the reason your friend group is falling apart nobody can stand you,other_cyberbullying
Do everyone a favor and just disappear from the internet forever,other_cyberbullying
You are a disgusting excuse for a human being and deserve to be alone,other_cyberbullying
Nobody wants you around you ruin everything you touch,other_cyberbullying
You are a complete waste of space and everyone around you knows it,other_cyberbullying
Your presence makes every situation worse you are toxic to be around,other_cyberbullying
Nobody will ever love you because you are fundamentally unlovable,other_cyberbullying
You are so stupid it is embarrassing watching you try to function,other_cyberbullying
Everyone in your life wishes you would just go away permanently,other_cyberbullying
You are a bully and a coward and everyone can see right through you,other_cyberbullying
Your existence is a burden on everyone around you admit it,other_cyberbullying
You are the most pathetic person anyone has ever encountered online,other_cyberbullying
Just had the most amazing coffee this morning and I absolutely loved it,not_cyberbullying
The weather today is beautiful and perfect for a walk in the park,not_cyberbullying
I finished my project last night and I am really happy with how it turned out,not_cyberbullying
This new restaurant downtown has incredible food you should definitely try it,not_cyberbullying
I cannot believe how fast this year has gone by it feels like yesterday was January,not_cyberbullying
My dog learned a new trick today and I am so proud of how smart she is,not_cyberbullying
The sunset last evening was absolutely stunning I wish I had taken a photo,not_cyberbullying
I finally finished reading that book and the ending completely surprised me,not_cyberbullying
This movie was so good I watched it twice in the same weekend,not_cyberbullying
I have been learning to cook new recipes lately and it is so much fun,not_cyberbullying
The concert last night was one of the best experiences I have ever had,not_cyberbullying
I love how productive I have been this week everything is coming together,not_cyberbullying
My friend surprised me with tickets to the game and I was so excited,not_cyberbullying
The new season of that show is even better than the last one,not_cyberbullying
I went for a run this morning and felt amazing for the rest of the day,not_cyberbullying
Just got back from the most relaxing vacation I have had in years,not_cyberbullying
I am so grateful for the people in my life they always show up for me,not_cyberbullying
The flowers in my garden are blooming and they look absolutely beautiful,not_cyberbullying
I aced my exam today and all that studying really paid off,not_cyberbullying
Today was one of those perfect days where everything just went right,not_cyberbullying
